ticker,cik,fiscal_year,shares_outstanding,total_assets,total_liab,deposits,equity,liab_current,longterm_debt,net_income,interest_expense
NMIH,1547903,2023,75217851.0,2940507000.0,1014503000.0,,1926004000.0,,,83413000.0,8066000.0
NMIH,1547903,2024,75217851.0,3349973000.0,1132541000.0,,2217432000.0,,,360106000.0,
NMIH,1547903,2025,75217851.0,3841098000.0,1249112000.0,,2591986000.0,,,388926000.0,
NOA,1368519,2015,28821481.0,360694000.0,189076000.0,,171618000.0,62335000.0,42537000.0,-7470000.0,9880000.0
NOA,1368519,2016,28821481.0,350081000.0,191127000.0,,158954000.0,74028000.0,31266000.0,-445000.0,
NOA,1368519,2017,28821481.0,383644000.0,237720000.0,,145924000.0,79030000.0,70065000.0,5264000.0,
NOA,1368519,2018,28821481.0,689800000.0,539585000.0,,149721000.0,148895000.0,265962000.0,15286000.0,
NOA,1368519,2019,28821481.0,792652000.0,612533000.0,,180119000.0,157303000.0,313443000.0,36878000.0,
NOA,1368519,2020,28821481.0,838928000.0,590485000.0,,248443000.0,109198000.0,341547000.0,49208000.0,
NOA,1368519,2021,28821481.0,869278000.0,590815000.0,,278463000.0,161034000.0,306034000.0,51408000.0,
NOA,1368519,2022,28821481.0,979513000.0,673594000.0,,305919000.0,192303000.0,358137000.0,67372000.0,
NOA,1368519,2023,28821481.0,1546478000.0,1189824000.0,,356654000.0,324023000.0,,63141000.0,36948000.0
NOA,1368519,2024,28821481.0,1694264000.0,1305362000.0,,388902000.0,315857000.0,,44085000.0,
NOA,1368519,2025,28821481.0,1819753000.0,1363132000.0,,456621000.0,410859000.0,,33834000.0,
NOC,1133421,2015,142063026.0,24454000000.0,18932000000.0,,5522000000.0,5457000000.0,,459000000.0,
NOC,1133421,2016,142063026.0,25614000000.0,20355000000.0,,5259000000.0,5630000000.0,,525000000.0,
NOC,1133421,2017,142063026.0,34917000000.0,27869000000.0,,7048000000.0,6965000000.0,,178000000.0,
NOC,1133421,2018,142063026.0,37653000000.0,29466000000.0,,8187000000.0,8274000000.0,,356000000.0,
NOC,1133421,2019,142063026.0,41089000000.0,32270000000.0,,8819000000.0,9434000000.0,,-409000000.0,
NOC,1133421,2020,142063026.0,44469000000.0,33890000000.0,,10579000000.0,9580000000.0,14261000000.0,330000000.0,
NOC,1133421,2021,142063026.0,42579000000.0,29653000000.0,,12926000000.0,9530000000.0,12777000000.0,7005000000.0,
NOC,1133421,2022,142063026.0,43755000000.0,28443000000.0,,15312000000.0,11587000000.0,11805000000.0,4896000000.0,
NOC,1133421,2023,142063026.0,46544000000.0,31749000000.0,,14795000000.0,11942000000.0,13786000000.0,2056000000.0,
NOC,1133421,2024,142063026.0,49359000000.0,34069000000.0,,15290000000.0,14128000000.0,14692000000.0,4174000000.0,
NOC,1133421,2025,142063026.0,51377000000.0,34703000000.0,,16674000000.0,13882000000.0,15162000000.0,4182000000.0,
NRG,1013871,2015,210210483.0,32882000000.0,27117000000.0,,5434000000.0,4375000000.0,,-6314000000.0,1128000000.0
NRG,1013871,2016,210210483.0,30355000000.0,25863000000.0,,4446000000.0,4382000000.0,,-987000000.0,1061000000.0
NRG,1013871,2017,210210483.0,23318000000.0,21272000000.0,,1968000000.0,3317000000.0,,-1535000000.0,890000000.0
NRG,1013871,2018,210210483.0,10628000000.0,11843000000.0,,-1234000000.0,2398000000.0,,268000000.0,483000000.0
NRG,1013871,2019,210210483.0,12531000000.0,10853000000.0,,1658000000.0,2359000000.0,,4438000000.0,413000000.0
NRG,1013871,2020,210210483.0,14902000000.0,13222000000.0,,1680000000.0,1915000000.0,,510000000.0,401000000.0
NRG,1013871,2021,210210483.0,23182000000.0,19582000000.0,,3600000000.0,7915000000.0,,2187000000.0,485000000.0
NRG,1013871,2022,210210483.0,29146000000.0,25318000000.0,,3828000000.0,12982000000.0,,1221000000.0,417000000.0
NRG,1013871,2023,210210483.0,26038000000.0,23132000000.0,,2906000000.0,9500000000.0,,-202000000.0,667000000.0
NRG,1013871,2024,210210483.0,24022000000.0,21544000000.0,,2478000000.0,8813000000.0,,1125000000.0,
